          c_last_name           |     c_first_name     | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt 
--------------------------------+----------------------+--------------+-----------------------+------------------+-----
 Alford                         | Wilhelmina           | Ms.          | N                     |            79506 |  16
 Allred                         | Kathy                | Miss         | Y                     |           168636 |  16
 Alonzo                         |                      |              |                       |           123122 |  15
 Armstrong                      | Julia                | Mrs.         | Y                     |           187228 |  15
 Austin                         | Barbara              | Miss         | N                     |            43704 |  15
 Baker                          | Gregory              | Dr.          | N                     |            64024 |  16
 Baker                          | John                 | Sir          | N                     |            10036 |  15
 Baker                          | Richard              | Dr.          | N                     |           110320 |  16
 Banks                          | Ricky                | Mr.          | N                     |           152380 |  15
 Barber                         | Yvonne               | Ms.          | Y                     |            12838 |  16
 Barnes                         | Jose                 | Sir          | N                     |           217842 |  15
 Barnett                        | Daniel               | Sir          | N                     |           226040 |  15
 Benjamin                       | Molly                | Ms.          | Y                     |            86970 |  15
 Benner                         | Carrie               | Mrs.         | Y                     |            98834 |  16
 Bennett                        | Megan                | Miss         | N                     |           133448 |  15
 Bradshaw                       | Francis              | Dr.          | N                     |           188716 |  15
 Branch                         | Larry                | Mr.          | Y                     |            77378 |  15
 Brewer                         | Elizabeth            | Miss         | Y                     |           202602 |  15
 Broadway                       | Lucille              | Mrs.         | Y                     |           102476 |  15
 Brown                          | Margaret             | Ms.          | N                     |           210676 |  16
 Browne                         | Lorenzo              | Dr.          | N                     |            80442 |  16
 Burke                          | Roy                  | Mr.          | Y                     |            65792 |  15
 Burton                         | Rebecca              | Mrs.         | N                     |            77116 |  15
 Campbell                       | Helen                | Miss         | Y                     |           187284 |  16
 Chapman                        | James                | Mr.          | N                     |           114966 |  15
 Chastain                       | Elizabeth            | Miss         | N                     |            97824 |  15
 Collier                        | Jeff                 | Dr.          | Y                     |            38252 |  15
 Cress                          | Wesley               | Dr.          | Y                     |            39906 |  15
 Dagostino                      | Constance            | Dr.          | Y                     |           190452 |  15
 Dale                           | Lauren               | Dr.          | Y                     |           131126 |  15
 Davis                          | Michael              | Mr.          | N                     |            14690 |  15
 Davis                          | Roger                | Mr.          | N                     |           200136 |  15
 Dickey                         | Dwight               | Mr.          | Y                     |           167186 |  15
 Driver                         | Gary                 | Sir          | N                     |             1326 |  15
 Dunn                           | Viviana              | Dr.          | N                     |           226806 |  15
 Duong                          | Catrina              | Mrs.         | Y                     |             4440 |  16
 Esquivel                       | Ralph                | Mr.          | N                     |           131006 |  16
 Estrada                        | Amanda               | Ms.          | Y                     |            85084 |  15
 Evans                          | Luis                 | Sir          | N                     |           204550 |  15
 Faison                         | Roy                  | Sir          | Y                     |           196618 |  15
 Farmer                         | Carolyn              | Miss         | Y                     |            95454 |  15
 Fitzgerald                     | Kristi               | Mrs.         | N                     |            62720 |  15
 Fitzpatrick                    | Timothy              | Dr.          | N                     |           129486 |  16
 Fleming                        | Nancy                | Ms.          | Y                     |           206290 |  16
 Foltz                          | Kenneth              | Mr.          | Y                     |           220740 |  15
 Fortney                        | Roxanne              | Dr.          | N                     |           143786 |  15
 Franco                         | Jennie               | Mrs.         | N                     |           167610 |  16
 Fryer                          | Karen                | Ms.          | Y                     |           152714 |  15
 Garcia                         | Barbara              | Miss         | Y                     |           211948 |  16
 George                         | Issac                | Dr.          | N                     |             8448 |  16
 Gibson                         | Harvey               | Mr.          | Y                     |           157998 |  15
 Gilbert                        | Lori                 | Miss         | Y                     |            32204 |  15
 Gilmore                        | Fawn                 | Ms.          | N                     |           219212 |  16
 Gonzalez                       | Rosa                 | Miss         | N                     |           201614 |  15
 Gonzalez                       | Zachary              | Mr.          | N                     |           208344 |  15
 Green                          | Daniel               | Dr.          | N                     |           227784 |  15
 Guerra                         | Todd                 | Mr.          | N                     |            41482 |  16
 Haas                           | Richard              | Sir          | Y                     |            47696 |  16
 Hall                           | William              | Sir          | Y                     |           177052 |  15
 Hammond                        | Levi                 | Mr.          | Y                     |           161574 |  15
 Harley                         | Robert               | Mr.          | N                     |           137892 |  15
 Harms                          | Douglas              | Dr.          | N                     |           202296 |  15
 Harp                           | Lakeisha             | Ms.          | Y                     |           172446 |  15
 Hendricks                      | Ida                  | Miss         | Y                     |           152110 |  15
 Hernandez                      | Geraldine            | Mrs.         | Y                     |            34324 |  15
 Herrera                        | Jonathan             | Dr.          | N                     |           205756 |  15
 Hinojosa                       | Lori                 | Mrs.         | Y                     |           100286 |  15
 Holloway                       | Ann                  | Ms.          | Y                     |            24714 |  16
 Holmes                         | Juan                 | Sir          | N                     |           203188 |  16
 Horne                          | Keith                | Dr.          | Y                     |            81006 |  16
 Hughes                         | Corina               | Mrs.         | N                     |           193378 |  15
 Hunt                           | Gary                 | Mr.          | Y                     |           136594 |  15
 Hutchinson                     | Rosanne              | Mrs.         | N                     |            14384 |  15
 Jacobsen                       | Walter               | Dr.          | N                     |           156140 |  16
 James                          | Esther               | Ms.          | N                     |           105874 |  16
 Jennings                       | George               | Mr.          | N                     |           121680 |  15
 Johnson                        | Alice                | Mrs.         | N                     |           133904 |  15
 Johnson                        | Don                  | Dr.          | Y                     |           186376 |  15
 Jones                          | Berta                | Miss         | N                     |            89790 |  15
 Jones                          | Suzann               | Mrs.         | N                     |           236182 |  15
 Jordan                         | Bessie               | Mrs.         | N                     |           139114 |  15
 Joy                            | Mona                 | Dr.          | Y                     |            53986 |  16
 Keller                         | Eric                 | Sir          | Y                     |            27156 |  15
 Kelly                          | Thomas               | Mr.          | Y                     |           187292 |  15
 Kline                          | George               | Dr.          | N                     |           186982 |  15
 Lemus                          | Deena                | Ms.          | Y                     |            34488 |  16
 Lewis                          | Avery                | Mr.          | N                     |            62794 |  16
 Lilley                         | Marie                | Miss         | N                     |           177230 |  15
 Linn                           | James                | Mr.          | N                     |            98970 |  15
 Little                         | Michael              | Sir          | N                     |            43086 |  16
 Lockett                        | Ellen                | Mrs.         | N                     |           238794 |  15
 Lockhart                       |                      | Mr.          |                       |           117630 |  15
 Lopez                          | Amy                  | Miss         | Y                     |             9682 |  15
 Lopez                          | Juan                 | Mr.          | N                     |           146832 |  15
 Lopez                          | Lloyd                | Sir          | Y                     |           238362 |  15
 Lopez                          |                      |              | Y                     |            34920 |  15
 Lund                           | Wm                   | Dr.          | N                     |            75370 |  15
 Ma                             | Christopher          | Mr.          | N                     |           134762 |  15
 Marshall                       | Ann                  | Miss         | N                     |            69752 |  15
 Martin                         | Angel                | Ms.          | N                     |            58806 |  15
 Matheny                        | Annie                | Miss         | Y                     |           138990 |  16
 May                            | James                | Mr.          | Y                     |            17660 |  16
 Mccarthy                       | Roberta              | Miss         | N                     |           217686 |  15
 Mccune                         | Darrell              | Sir          | Y                     |           223904 |  15
