          c_last_name           |     c_first_name     |     ca_city     |   bought_city   | ss_ticket_number | extended_price | extended_tax | list_price 
--------------------------------+----------------------+-----------------+-----------------+------------------+----------------+--------------+------------
 Abbott                         | Phillip              | Clinton         | Woodville       |            47272 |       49610.47 |      1241.65 |   74192.73
 Acevedo                        | Frank                | Lakeview        | Glenwood        |           215146 |       13225.53 |       717.33 |   18839.40
 Acker                          | Mattie               | Springdale      | Harmony         |            78972 |       44099.05 |      2720.74 |   80434.44
 Acosta                         | Tammy                | White Oak       | Ashland         |           199216 |       32887.43 |      1011.86 |   56479.94
 Adair                          | Martin               | Highland        | Bayside         |           142446 |       13961.40 |       391.12 |   29551.75
 Adams                          | Betty                | Lakewood        | Newtown         |            83966 |       16276.87 |       591.29 |   33501.11
 Adams                          | Isidro               | Glenwood        | Red Hill        |           183176 |       10630.29 |       372.02 |   23558.82
 Adams                          | Joyce                | Highland        | Cedar Grove     |           195114 |       20891.36 |       711.11 |   38680.73
 Adamson                        | Martin               | Riverview       | Shady Grove     |            41342 |       18424.92 |       552.17 |   35103.54
 Agnew                          | Elizabeth            | Pine Grove      | Brownsville     |           148802 |       19134.40 |       873.45 |   46277.05
 Ahrens                         | Mario                | Willis          | Murray          |            51932 |       15886.59 |       584.21 |   27543.96
 Aldridge                       | Angela               | Royal           | Plainview       |             3344 |       10415.32 |       306.33 |   30421.61
 Alexander                      | Annie                | Lebanon         | Union Hill      |            72228 |       16580.34 |      1018.88 |   33696.04
 Allen                          | Dwayne               | Waterloo        | Plainview       |           161994 |       15557.75 |       461.34 |   38173.68
 Alves                          | Sam                  | Mount Olive     | Union Hill      |           129660 |       22050.59 |       820.80 |   42100.03
 Ambrose                        | Robert               | Concord         | Fairfield       |           125246 |       35253.72 |       957.24 |   50809.46
 Amundson                       | Bruce                | Shady Grove     | Newtown         |            86398 |       27968.36 |      1124.39 |   42111.77
 Anderson                       | Sean                 | Mount Olive     | Raymond         |           109916 |       17292.16 |       682.27 |   35566.96
 Anderson                       | Jeremy               | Woodlawn        | Midway          |           237752 |       21371.29 |      1105.83 |   36031.69
 Appleton                       | Antonio              | Rolling Hills   | Pleasant Valley |            48732 |       21710.16 |      1195.48 |   53466.79
 Appleton                       | Ivan                 | Summit          | Mount Vernon    |            74586 |       36305.98 |      1631.85 |   72330.28
 Armstrong                      | Steven               | Florence        | Jamestown       |            40698 |       26319.63 |      1128.36 |   40715.19
 Arnold                         | Jane                 | Vance           | Shiloh          |           168172 |       38423.41 |      1230.88 |   52422.66
 Ashmore                        | Karen                | Cedar Grove     | Sulphur Springs |            35216 |       23105.58 |      1288.00 |   42468.01
 Atkinson                       | Vance                | Valley View     | Marion          |           121448 |       33313.04 |      1351.04 |   71288.66
 Austin                         | Joseph               | Enterprise      | Ashland         |           139200 |       18890.28 |       666.12 |   29821.57
 Baca                           | Sharon               | Oak Hill        | Antioch         |           110126 |       14681.86 |       369.43 |   30584.63
 Baca                           | Daniel               | Winslow         | Mount Olive     |           214810 |       21722.75 |      1152.00 |   39746.08
 Baer                           | Alexandria           | Lakewood        | Union           |           171992 |       24255.01 |      1322.93 |   42176.49
 Bailey                         | Victoria             | Pleasant Grove  | Hopewell        |            66382 |        9775.11 |       475.37 |   27294.58
 Bailey                         | William              | Sulphur Springs | Oakdale         |           100572 |        9877.70 |       218.13 |   28736.29
 Baird                          | Antonia              | Farmington      | Millbrook       |           101772 |       15613.42 |       767.34 |   43360.27
 Baird                          | Catherine            | Five Points     | Springdale      |           216828 |       21067.21 |      1051.96 |   68653.28
 Baker                          | Jose                 | Sulphur Springs | Woodbury        |            33432 |       20752.47 |      1305.18 |   34207.21
 Baldwin                        | Belen                | Maple Grove     | Highland Park   |           116304 |       20681.58 |       675.58 |   64022.57
 Baldwin                        | Leroy                | Shiloh          | King            |           189166 |        9946.76 |       480.11 |   38117.76
 Baldwin                        | Thomas               | Johnsonville    | Shannon         |           212512 |       20558.90 |       699.91 |   34479.46
 Ball                           | Lionel               | Union           | Waterloo        |            35808 |       16691.93 |       726.90 |   40589.67
 Baptiste                       | Allen                | Lakewood        | Spring Hill     |            85386 |       23063.37 |      1163.22 |   36503.87
 Barnes                         | Jose                 | Five Points     | Marion          |             7910 |        5663.85 |       208.43 |   22064.01
 Barnes                         | Arthur               | Flint           | Stringtown      |            71708 |       13512.86 |       711.46 |   32063.72
 Barnes                         | Charles              | Spring Hill     | Franklin        |            79586 |       35911.85 |       759.04 |   61893.18
 Barney                         | Meredith             | Harmony         | Riverview       |            32056 |       21525.53 |      1067.00 |   42716.02
 Barnhart                       | James                | Fairfield       | Mount Vernon    |           213978 |       34729.28 |      1316.45 |   59727.09
