          c_last_name           |     c_first_name     |  substr  | ss_ticket_number |   amt    |  profit   
--------------------------------+----------------------+----------+------------------+----------+-----------
 Aaron                          | Suzann               | Midway   |            45020 |  1004.93 |   -383.83
 Abbott                         | Chadwick             | Midway   |           122626 |    18.66 |   3420.30
 Abbott                         | Melissa              | Midway   |           175888 |  1430.70 |  -9991.46
 Abbott                         | Sylvia               | Midway   |            37114 |   797.02 |   5757.79
 Abel                           | Etta                 | Midway   |           204880 |   117.11 |  -5135.56
 Abel                           | Ida                  | Fairview |           130398 |  1046.14 | -17343.25
 Abraham                        | Sheri                | Fairview |           201726 |  1154.42 |   5935.85
 Abrams                         | Samuel               | Midway   |           196244 |  2337.52 |  -8126.62
 Abreu                          | Edward               | Midway   |           235428 |   419.88 |  -9219.87
 Acevedo                        | David                | Midway   |           124592 |   550.41 | -18324.80
 Acevedo                        | Ellen                | Midway   |            48390 |     0.00 |  -8873.13
 Ackerman                       | Jeffrey              | Midway   |            19260 |  3865.35 |  -1451.04
 Acosta                         | Alberta              | Midway   |            30652 |   157.99 |  -7714.69
 Acosta                         | Eric                 | Midway   |            48118 |  1736.96 |  -8405.90
 Acosta                         | Lashunda             | Fairview |           132762 |   572.29 | -10867.77
 Acosta                         | Terry                | Fairview |           175042 |     0.00 |  -4087.00
 Acosta                         | Thomas               | Midway   |            94248 |  1986.65 |  -3370.74
 Acosta                         | Victor               | Midway   |           120636 |   451.89 |  -2783.00
 Adair                          | Erika                | Midway   |            18982 |  1808.98 |   -219.62
 Adair                          | Jasmine              | Midway   |           145848 |  1348.34 |  -1389.17
 Adams                          | Debbra               | Midway   |            33130 |  1873.74 |  -8781.08
 Adams                          | Heidi                | Midway   |           202368 |   568.22 | -15293.15
 Adams                          | Jacqueline           | Fairview |            94136 |  1257.11 |  -9244.09
 Adams                          | John                 | Midway   |            81110 |     0.00 | -10054.79
 Adams                          | John                 | Midway   |           229336 |   342.06 |  -3441.34
